
,Time,Pos/[cm],TOut/[°C],T1/[°C],T2/[°C],T3/[°C],T4/[°C],P1/[Bar],P2/[Bar]
0,12:10:58.903,5,24.2,31.2,29.3,31.9,31.3,78.9,72.6
1,12:10:58.955,5,24.2,31.2,29.3,31.9,31.3,78.9,72.6
2,12:10:59.007,6,24.2,31.2,29.3,31.9,31.3,78.6,72.6
3,12:10:59.058,6,24.2,31.2,29.3,31.9,31.2,78.6,72.6
4,12:10:59.111,6,24.2,31.2,29.3,31.9,31.2,78.9,72.6
5,12:10:59.163,6,24.2,31.2,29.4,31.9,31.2,78.9,72.3
6,12:10:59.212,6,24.2,31.2,29.4,31.9,31.2,79.2,72.3
7,12:10:59.262,6,24.2,31.2,29.4,31.9,31.2,78.9,72.6
8,12:10:59.312,6,24.2,31.2,29.4,31.9,31.2,78.6,72.6
9,12:10:59.363,6,24.2,31.2,29.4,31.9,31.2,78.6,72.6
10,12:10:59.413,6,24.2,31.2,29.3,31.9,31.2,78.9,72.6
11,12:10:59.462,6,24.2,31.2,29.3,31.9,31.2,78.9,72.3
12,12:10:59.513,6,24.2,31.2,29.3,31.9,31.2,78.9,72.3
13,12:10:59.563,6,24.2,31.2,29.3,31.9,31.1,78.9,72.6
14,12:10:59.613,6,24.2,31.2,29.3,31.9,31.2,78.9,72.6
15,12:10:59.663,6,24.2,31.2,29.3,31.9,31.2,78.6,72.6
16,12:10:59.713,6,24.2,31.2,29.3,31.9,31.1,78.6,72.6
17,12:10:59.763,6,24.2,31.2,29.3,31.9,31.2,78.6,72.6
18,12:10:59.813,6,24.2,31.2,29.3,31.9,31.2,78.9,72.3
19,12:10:59.864,6,24.2,31.2,29.3,31.9,31.2,78.9,72.3
20,12:10:59.913,6,24.2,31.2,29.3,31.9,31.2,78.9,72.6
21,12:10:59.963,6,24.2,31.2,29.3,31.8,31.1,78.6,72.6
22,12:11:00.013,7,24.2,31.2,29.3,31.9,31.1,78.6,72.6
23,12:11:00.062,7,24.2,31.2,29.3,31.9,31.1,78.6,72.6
24,12:11:00.113,7,24.2,31.2,29.4,31.9,31.1,78.9,72.3
25,12:11:00.165,7,24.2,31.2,29.4,31.9,31.1,78.9,72.3
26,12:11:00.213,7,24.2,31.2,29.3,31.9,31.1,79.2,72.3
27,12:11:00.263,7,24.2,31.2,29.3,31.9,30.9,78.9,72.6
28,12:11:00.313,7,24.2,31.2,29.3,31.9,31.0,78.6,72.6
29,12:11:00.363,7,24.2,31.2,29.3,31.9,31.0,78.6,72.6
30,12:11:00.413,7,24.2,31.2,29.3,31.9,30.9,78.6,72.6
31,12:11:00.463,7,24.2,31.2,29.4,31.9,30.9,78.9,72.3
32,12:11:00.513,7,24.2,31.2,29.3,31.9,31.0,78.9,72.3
33,12:11:00.563,7,24.2,31.2,29.3,31.9,31.0,78.9,72.3
34,12:11:00.614,7,24.2,31.2,29.3,31.9,31.0,78.9,72.3
35,12:11:00.662,7,24.2,31.2,29.5,31.9,31.0,78.6,72.6
36,12:11:00.713,7,24.2,31.2,29.4,31.8,31.0,78.6,72.6
37,12:11:00.763,8,24.2,31.2,29.5,31.8,31.0,78.6,72.3
38,12:11:00.813,8,24.2,31.2,29.5,31.8,31.0,78.9,72.3
39,12:11:00.863,8,24.2,31.2,29.4,31.8,30.8,78.9,72.3
40,12:11:00.914,8,24.2,31.2,29.4,31.8,30.9,78.9,72.3
41,12:11:00.962,8,24.2,31.2,29.4,31.8,30.9,78.9,72.3
42,12:11:01.013,8,24.2,31.2,29.4,31.8,30.9,78.6,72.6
43,12:11:01.063,8,24.2,31.2,29.4,31.8,30.9,78.6,72.6
44,12:11:01.113,8,24.2,31.3,29.4,31.8,30.8,78.6,72.3
45,12:11:01.162,8,24.2,31.3,29.4,31.8,30.9,78.6,72.3
46,12:11:01.213,8,24.2,31.2,29.4,31.8,30.9,78.9,72.3
47,12:11:01.262,8,24.2,31.2,29.5,31.8,30.9,78.9,72.3
48,12:11:01.313,8,24.2,31.3,29.5,31.8,30.9,78.6,72.3
49,12:11:01.363,8,24.2,31.3,29.4,31.6,30.9,78.6,72.6
50,12:11:01.413,8,24.2,31.3,29.5,31.6,30.9,78.6,72.6
51,12:11:01.463,8,24.2,31.2,29.4,31.6,30.8,78.6,72.3
52,12:11:01.513,8,24.2,31.3,29.5,31.6,30.8,78.9,72.3
53,12:11:01.563,8,24.2,31.3,29.6,31.6,30.8,78.9,72.3
54,12:11:01.612,8,24.2,31.3,29.6,31.6,30.8,78.9,72.3
55,12:11:01.663,8,24.2,31.2,29.6,31.6,30.8,78.6,72.6
56,12:11:01.713,8,24.2,31.2,29.6,31.6,30.8,78.6,72.6
57,12:11:01.763,9,24.2,31.2,29.6,31.6,30.7,78.6,72.6
