10Bar Gegendruck
Kühlung an

,Time,Pos/[cm],TOut/[°C],T1/[°C],T2/[°C],T3/[°C],T4/[°C],P1/[Bar],P2/[Bar]
0,12:40:02.247,5,24.2,31.9,21.0,36.9,35.9,58.5,87.1
1,12:40:02.299,5,24.2,31.9,20.9,36.9,35.9,58.8,87.1
2,12:40:02.351,5,24.2,31.9,21.0,36.9,35.9,58.5,87.4
3,12:40:02.403,5,24.2,31.9,21.0,36.9,35.9,58.8,87.1
4,12:40:02.455,5,24.2,32.0,21.0,36.9,35.9,58.5,87.1
5,12:40:02.507,5,24.2,32.0,21.0,36.9,35.9,58.5,87.1
6,12:40:02.559,5,24.2,31.9,21.0,36.9,35.9,58.5,87.1
7,12:40:02.611,5,24.2,32.0,21.1,36.9,35.9,58.8,87.1
8,12:40:02.663,5,24.2,31.9,21.0,36.9,35.9,58.5,87.1
9,12:40:02.713,5,24.2,31.9,21.1,36.9,35.9,58.5,87.1
10,12:40:02.763,5,24.2,31.9,21.1,36.9,36.1,58.5,87.1
11,12:40:02.813,5,24.2,32.0,21.1,36.9,36.1,58.5,87.1
12,12:40:02.863,5,24.2,31.9,21.1,36.9,36.1,58.5,87.1
13,12:40:02.913,5,24.2,32.0,21.1,36.9,36.1,58.5,87.1
14,12:40:02.963,5,24.2,32.0,21.1,36.9,36.1,58.5,87.1
15,12:40:03.013,5,24.2,32.0,21.1,37.0,36.1,58.8,87.1
16,12:40:03.063,5,24.2,32.0,21.0,37.0,36.1,58.8,87.1
17,12:40:03.113,5,24.2,32.0,21.0,37.0,36.1,58.5,87.1
18,12:40:03.163,5,24.2,32.0,21.0,37.0,36.1,58.5,87.1
19,12:40:03.213,5,24.2,32.0,21.0,37.0,36.1,58.5,87.1
20,12:40:03.263,5,24.2,32.1,21.0,37.0,36.1,58.8,87.1
21,12:40:03.313,5,24.2,32.0,21.0,37.0,36.1,58.8,87.1
22,12:40:03.363,5,24.2,32.1,21.0,37.0,36.2,58.8,87.1
23,12:40:03.413,5,24.2,32.1,21.0,37.0,36.2,58.5,87.1
24,12:40:03.463,5,24.2,32.1,21.0,37.0,36.2,58.5,87.1
25,12:40:03.513,5,24.2,32.1,21.0,37.0,36.2,58.8,87.1
26,12:40:03.563,5,24.2,32.1,21.0,37.0,36.2,58.5,87.1
27,12:40:03.613,5,24.2,32.1,21.0,37.0,36.2,58.5,87.1
28,12:40:03.663,5,24.2,32.1,21.0,37.0,36.3,58.5,87.1
29,12:40:03.713,5,24.2,32.1,21.0,37.0,36.3,58.5,87.1
30,12:40:03.763,5,24.2,32.1,21.0,37.1,36.3,58.8,87.1
31,12:40:03.813,5,24.2,32.1,21.0,37.0,36.3,58.5,87.1
32,12:40:03.863,5,24.2,32.1,21.0,37.0,36.3,58.5,87.1
33,12:40:03.913,5,24.2,32.1,21.0,37.0,36.3,58.5,87.1
34,12:40:03.963,5,24.2,32.1,21.0,37.0,36.3,58.5,87.1
35,12:40:04.013,5,24.2,32.0,21.1,37.0,36.4,58.5,87.1
36,12:40:04.063,5,24.2,32.1,21.0,37.0,36.4,58.8,87.1
37,12:40:04.113,5,24.2,32.0,21.0,36.9,36.3,58.5,87.1
38,12:40:04.165,5,24.2,32.1,21.0,37.0,36.4,58.5,87.1
39,12:40:04.213,5,24.2,32.0,21.0,37.0,36.4,58.5,87.1
40,12:40:04.263,5,24.2,32.1,21.0,37.0,36.5,58.5,87.1
41,12:40:04.313,5,24.2,32.0,21.0,37.0,36.5,58.5,87.1
