10Bar Gegendruck
Kühlung aus
,Time,Pos/[cm],TOut/[°C],T1/[°C],T2/[°C],T3/[°C],T4/[°C],P1/[Bar],P2/[Bar]
0,12:54:59.992,8,24.2,36.6,33.3,31.6,20.6,88.7,57.2
1,12:55:00.043,8,24.2,36.5,33.3,31.6,20.6,89.0,56.9
2,12:55:00.095,8,24.2,36.6,33.3,31.6,20.6,88.7,57.2
3,12:55:00.147,8,24.2,36.6,33.3,31.7,20.6,88.7,57.2
4,12:55:00.198,8,24.2,36.6,33.3,31.7,20.6,89.0,56.9
5,12:55:00.251,8,24.2,36.6,33.3,31.7,20.6,88.7,56.9
6,12:55:00.303,8,24.2,36.6,33.2,31.6,20.6,88.7,56.9
7,12:55:00.355,8,24.2,36.7,33.2,31.7,20.6,89.0,56.9
8,12:55:00.408,8,24.2,36.6,33.2,31.6,20.6,89.0,56.9
9,12:55:00.459,8,24.2,36.6,33.2,31.7,20.6,88.7,56.9
10,12:55:00.511,8,24.2,36.6,33.2,31.7,20.6,89.0,56.9
11,12:55:00.563,8,24.2,36.6,33.2,31.7,20.5,88.7,56.9
12,12:55:00.613,8,24.2,36.6,33.2,31.7,20.5,88.7,57.2
13,12:55:00.663,8,24.2,36.7,33.2,31.7,20.6,88.7,56.9
14,12:55:00.713,8,24.2,36.6,33.2,31.7,20.6,88.7,56.9
15,12:55:00.763,8,24.2,36.6,33.2,31.7,20.6,88.7,56.9
16,12:55:00.813,8,24.2,36.6,33.2,31.6,20.5,88.7,56.9
17,12:55:00.863,8,24.2,36.6,33.1,31.6,20.5,88.7,56.9
18,12:55:00.913,8,24.2,36.6,33.1,31.6,20.6,88.7,56.9
19,12:55:00.963,8,24.2,36.6,33.2,31.6,20.5,88.7,56.9
20,12:55:01.013,8,24.2,36.7,33.2,31.6,20.6,88.7,56.9
21,12:55:01.062,8,24.2,36.7,33.1,31.6,20.5,88.7,56.9
22,12:55:01.113,8,24.2,36.7,33.1,31.8,20.6,88.7,56.9
23,12:55:01.163,8,24.2,36.7,33.2,31.8,20.6,88.7,56.9
24,12:55:01.213,8,24.2,36.7,33.1,31.8,20.5,88.7,56.9
25,12:55:01.263,8,24.2,36.7,33.1,31.8,20.5,88.7,56.9
26,12:55:01.313,8,24.2,36.6,33.1,31.8,20.6,88.7,56.9
27,12:55:01.363,8,24.2,36.7,33.1,31.8,20.6,88.7,56.9
28,12:55:01.413,8,24.2,36.6,33.1,31.8,20.6,88.7,56.9
29,12:55:01.463,8,24.2,36.6,33.2,31.8,20.6,88.7,56.9
30,12:55:01.513,8,24.2,36.7,33.2,31.8,20.6,88.7,56.9
31,12:55:01.562,8,24.2,36.6,33.2,31.8,20.6,88.7,56.9
32,12:55:01.613,8,24.2,36.7,33.2,31.8,20.6,88.7,56.9
33,12:55:01.664,8,24.2,36.6,33.2,31.8,20.6,88.7,56.9
34,12:55:01.713,8,24.2,36.6,33.2,31.8,20.6,88.7,56.9
35,12:55:01.763,8,24.2,36.6,33.2,31.8,20.6,88.7,56.9
36,12:55:01.812,8,24.2,36.6,33.2,31.8,20.6,88.7,56.9
37,12:55:01.863,8,24.2,36.6,33.2,31.8,20.6,88.7,56.9
38,12:55:01.912,8,24.2,36.7,33.2,31.8,20.6,88.7,56.9
39,12:55:01.963,8,24.2,36.7,33.2,31.8,20.6,88.7,56.9
40,12:55:02.012,8,24.2,36.7,33.2,31.7,20.6,88.7,56.9
41,12:55:02.063,8,24.2,36.7,33.2,31.7,20.6,88.7,56.9
42,12:55:02.112,8,24.2,36.7,33.2,31.7,20.6,88.7,56.9
43,12:55:02.162,8,24.2,36.7,33.2,31.7,20.6,88.7,56.9
44,12:55:02.213,8,24.2,36.7,33.2,31.7,20.6,88.7,56.9
45,12:55:02.262,8,24.2,36.7,33.2,31.7,20.6,88.7,56.9
46,12:55:02.313,8,24.2,36.7,33.2,31.6,20.6,88.7,56.9
47,12:55:02.363,8,24.2,36.7,33.2,31.6,20.6,88.7,56.9
48,12:55:02.413,8,24.2,36.7,33.3,31.7,20.6,88.7,56.9
49,12:55:02.464,9,24.2,36.7,33.2,31.6,20.6,88.7,56.9
50,12:55:02.513,8,24.2,36.7,33.2,31.6,20.6,88.7,56.9
51,12:55:02.563,8,24.2,36.7,33.2,31.6,20.6,88.7,56.9
52,12:55:02.613,8,24.2,36.7,33.3,31.6,20.5,88.7,56.9
53,12:55:02.663,8,24.2,36.7,33.3,31.6,20.6,88.7,56.9
54,12:55:02.715,8,24.2,36.7,33.2,31.6,20.5,88.7,56.9
55,12:55:02.763,8,24.2,36.7,33.3,31.6,20.6,88.7,56.9
56,12:55:02.813,8,24.2,36.7,33.2,31.7,20.5,88.7,56.9
57,12:55:02.863,8,24.2,36.8,33.2,31.7,20.5,88.7,56.9
58,12:55:02.913,8,24.2,36.7,33.2,31.6,20.5,88.7,56.9
59,12:55:02.962,9,24.2,36.7,33.2,31.6,20.5,88.7,56.6
60,12:55:03.013,9,24.2,36.8,33.3,31.6,20.5,88.7,56.9
61,12:55:03.064,9,24.2,36.7,33.3,31.6,20.5,88.7,56.9
62,12:55:03.112,9,24.2,36.7,33.3,31.6,20.5,88.7,56.9
63,12:55:03.163,9,24.2,36.7,33.3,31.6,20.5,88.4,56.9
64,12:55:03.213,9,24.2,36.7,33.3,31.8,20.5,88.7,56.6
65,12:55:03.263,9,24.2,36.7,33.3,31.8,20.5,88.7,56.9
66,12:55:03.314,9,24.2,36.8,33.3,31.8,20.5,88.7,56.9
67,12:55:03.363,9,24.2,36.7,33.4,31.8,20.5,88.4,56.9
68,12:55:03.413,9,24.2,36.8,33.4,31.8,20.5,88.7,56.9
69,12:55:03.463,9,24.2,36.7,33.4,31.8,20.5,88.7,56.9
70,12:55:03.513,9,24.2,36.7,33.4,31.7,20.4,88.7,56.9
71,12:55:03.563,9,24.2,36.7,33.4,31.6,20.4,88.7,56.9
72,12:55:03.613,9,24.2,36.7,33.4,31.7,20.4,88.7,56.6
73,12:55:03.663,9,24.2,36.7,33.3,31.6,20.4,88.4,56.6
74,12:55:03.713,9,24.2,36.7,33.3,31.6,20.4,88.7,56.6
75,12:55:03.763,9,24.2,36.7,33.3,31.6,20.4,88.7,56.6
76,12:55:03.813,9,24.2,36.7,33.3,31.7,20.4,88.7,56.6
77,12:55:03.863,9,24.2,36.8,33.3,31.6,20.4,88.7,56.6
78,12:55:03.913,9,24.2,36.7,33.3,31.6,20.4,88.7,56.6
79,12:55:03.964,9,24.2,36.7,33.4,31.6,20.4,88.7,56.6
80,12:55:04.012,9,24.2,36.8,33.4,31.6,20.4,88.7,56.6
81,12:55:04.062,9,24.2,36.8,33.5,31.6,20.4,88.7,56.6
82,12:55:04.114,9,24.2,36.7,33.4,31.7,20.3,88.7,56.6
83,12:55:04.163,9,24.2,36.7,33.4,31.5,20.3,88.7,56.6
84,12:55:04.214,9,24.2,36.7,33.4,31.6,20.3,88.7,56.6
85,12:55:04.263,9,24.2,36.7,33.5,31.6,20.3,88.4,56.6
86,12:55:04.312,9,24.2,36.7,33.5,31.6,20.3,88.7,56.6
87,12:55:04.363,9,24.2,36.7,33.5,31.6,20.3,88.7,56.9
88,12:55:04.413,9,24.2,36.7,33.5,31.6,20.3,88.7,56.6
89,12:55:04.462,9,24.2,36.7,33.5,31.5,20.3,88.7,56.6
90,12:55:04.513,9,24.2,36.7,33.5,31.5,20.3,88.7,56.6
91,12:55:04.563,9,24.2,36.7,33.5,31.5,20.3,88.7,56.6
92,12:55:04.612,9,24.2,36.7,33.6,31.5,20.3,88.7,56.6
93,12:55:04.663,9,24.2,36.7,33.5,31.5,20.3,88.7,56.6
94,12:55:04.713,9,24.2,36.7,33.5,31.5,20.3,88.7,56.6
95,12:55:04.763,9,24.2,36.7,33.5,31.6,20.2,88.7,56.6
96,12:55:04.813,9,24.2,36.7,33.5,31.6,20.2,88.7,56.6
97,12:55:04.863,9,24.2,36.7,33.7,31.6,20.2,88.7,56.6
98,12:55:04.913,9,24.2,36.7,33.7,31.6,20.2,88.7,56.6
99,12:55:04.963,9,24.2,36.7,33.7,31.6,20.2,88.7,56.6
100,12:55:05.013,9,24.2,36.7,33.7,31.6,20.2,88.7,56.6
101,12:55:05.063,9,24.2,36.8,33.7,31.5,20.2,88.7,56.6
102,12:55:05.112,9,24.2,36.8,33.7,31.5,20.2,88.7,56.6
103,12:55:05.163,9,24.2,36.8,33.6,31.5,20.2,88.7,56.6
104,12:55:05.213,9,24.2,36.7,33.6,31.5,20.2,88.7,56.6
105,12:55:05.263,9,24.2,36.8,33.6,31.5,20.2,88.7,56.6
106,12:55:05.312,9,24.2,36.8,33.6,31.5,20.2,88.7,56.6
107,12:55:05.363,9,24.2,36.8,33.6,31.6,20.2,88.7,56.6
108,12:55:05.412,9,24.2,36.8,33.6,31.6,20.2,88.7,56.6
109,12:55:05.463,9,24.2,36.8,33.6,31.6,20.2,88.7,56.6
110,12:55:05.513,9,24.2,36.8,33.7,31.6,20.2,88.7,56.6
111,12:55:05.563,9,24.2,36.8,33.7,31.6,20.2,88.7,56.6
112,12:55:05.613,9,24.2,36.8,33.7,31.7,20.2,88.7,56.6
