10Bar Gegendruck
mit Kuehlung
,Time,Pos/[cm],TOut/[°C],T1/[°C],T2/[°C],T3/[°C],T4/[°C],P1/[Bar],P2/[Bar]
0,12:22:53.753,18,24.2,34.1,29.4,31.3,23.0,67.6,99.1
1,12:22:53.805,18,24.2,34.1,29.4,31.3,23.0,67.3,99.1
2,12:22:53.856,18,24.2,34.0,29.4,31.4,23.0,67.3,98.8
3,12:22:53.909,18,24.2,34.0,29.4,31.4,23.0,67.3,98.8
4,12:22:53.961,18,24.2,34.0,29.4,31.4,23.0,67.3,98.8
5,12:22:54.013,18,24.2,34.0,29.3,31.5,23.0,67.3,98.8
6,12:22:54.063,17,24.2,34.0,29.3,31.4,23.0,67.3,98.8
7,12:22:54.113,18,24.2,34.0,29.4,31.4,23.0,67.3,98.8
8,12:22:54.163,18,24.2,33.9,29.3,31.5,23.0,67.3,98.8
9,12:22:54.212,17,24.2,33.9,29.3,31.5,23.0,67.3,98.8
10,12:22:54.263,17,24.2,33.9,29.3,31.5,23.0,67.3,98.8
11,12:22:54.313,17,24.2,33.9,29.2,31.5,23.0,67.3,98.5
12,12:22:54.362,17,24.2,33.9,29.2,31.5,23.0,67.3,98.5
13,12:22:54.413,17,24.2,33.9,29.2,31.5,23.1,67.3,98.5
14,12:22:54.463,18,24.2,33.9,29.3,31.5,23.1,67.3,98.5
15,12:22:54.512,18,24.2,33.9,29.3,31.5,23.1,67.3,98.5
16,12:22:54.563,17,24.2,33.9,29.3,31.5,23.1,67.3,98.5
17,12:22:54.613,17,24.2,33.9,29.1,31.5,23.1,67.3,98.5
18,12:22:54.663,17,24.2,33.9,29.1,31.5,23.1,67.3,98.5
19,12:22:54.713,17,24.2,33.9,29.1,31.5,23.2,67.3,98.1
20,12:22:54.763,17,24.2,34.0,29.1,31.5,23.2,67.3,98.1
21,12:22:54.813,17,24.2,34.0,29.1,31.6,23.2,67.3,98.1
22,12:22:54.863,17,24.2,34.0,29.1,31.6,23.2,67.3,98.1
23,12:22:54.912,17,24.2,34.0,29.0,31.6,23.2,67.3,98.1
24,12:22:54.963,17,24.2,34.0,28.9,31.6,23.2,67.3,98.1
25,12:22:55.013,17,24.2,34.0,28.9,31.6,23.2,67.3,98.1
26,12:22:55.063,17,24.2,34.0,29.0,31.6,23.2,67.0,98.1
