10bar Gegendruck
Kühlung aus
,Time,Pos/[cm],TOut/[°C],T1/[°C],T2/[°C],T3/[°C],T4/[°C],P1/[Bar],P2/[Bar]
0,13:08:11.937,6,24.2,35.3,21.7,35.6,30.4,58.5,87.4
1,13:08:11.986,6,24.2,35.3,21.6,35.6,30.5,58.1,87.4
2,13:08:12.033,6,24.2,35.3,21.7,35.6,30.5,58.5,87.4
3,13:08:12.081,6,24.2,35.3,21.7,35.6,30.5,58.5,87.4
4,13:08:12.130,5,24.2,35.3,21.7,35.6,30.5,58.1,87.4
5,13:08:12.177,6,24.2,35.4,21.7,35.6,30.5,58.1,87.4
6,13:08:12.224,6,24.2,35.4,21.6,35.6,30.5,58.1,87.4
7,13:08:12.273,6,24.2,35.3,21.5,35.6,30.5,58.1,87.1
8,13:08:12.321,6,24.2,35.3,21.5,35.7,30.5,58.5,87.1
9,13:08:12.369,6,24.2,35.4,21.5,35.7,30.5,58.5,87.1
10,13:08:12.417,5,24.2,35.4,21.5,35.6,30.5,58.1,87.1
11,13:08:12.464,6,24.2,35.4,21.5,35.6,30.5,58.1,87.1
12,13:08:12.513,6,24.2,35.3,21.5,35.6,30.5,58.5,87.1
13,13:08:12.562,5,24.2,35.3,21.4,35.7,30.5,58.1,87.1
14,13:08:12.613,5,24.2,35.3,21.4,35.7,30.5,58.1,87.1
15,13:08:12.663,5,24.2,35.3,21.4,35.6,30.5,58.1,87.1
16,13:08:12.713,5,24.2,35.3,21.4,35.6,30.5,58.1,87.1
17,13:08:12.763,5,24.2,35.3,21.4,35.7,30.5,58.1,87.4
18,13:08:12.813,5,24.2,35.4,21.4,35.6,30.5,58.1,87.1
19,13:08:12.862,5,24.2,35.4,21.4,35.7,30.5,58.1,87.1
20,13:08:12.912,5,24.2,35.4,21.4,35.7,30.5,58.1,87.1
21,13:08:12.963,5,24.2,35.3,21.4,35.7,30.5,58.1,87.1
22,13:08:13.012,5,24.2,35.3,21.4,35.7,30.5,58.1,87.1
23,13:08:13.062,5,24.2,35.3,21.4,35.7,30.5,58.1,87.1
24,13:08:13.112,5,24.2,35.4,21.4,35.7,30.5,58.1,87.1
25,13:08:13.162,5,24.2,35.4,21.4,35.8,30.5,58.1,87.1
