10bar Gegendruck
Kühlung aus
Wasserdruck reduziert auf 0,5bar
,Time,Pos/[cm],TOut/[°C],T1/[°C],T2/[°C],T3/[°C],T4/[°C],P1/[Bar],P2/[Bar]
0,13:24:46.525,16,24.2,38.6,35.7,31.6,19.3,88.1,55.9
1,13:24:46.573,16,24.2,38.6,35.7,31.6,19.3,88.1,55.9
2,13:24:46.620,16,24.2,38.6,35.7,31.6,19.3,88.1,55.9
3,13:24:46.669,16,24.2,38.7,35.7,31.7,19.3,88.1,55.9
4,13:24:46.717,16,24.2,38.6,35.7,31.6,19.3,88.1,55.9
5,13:24:46.765,16,24.2,38.6,35.7,31.6,19.3,88.1,55.9
6,13:24:46.813,16,24.2,38.6,35.7,31.7,19.3,88.1,56.2
7,13:24:46.863,16,24.2,38.6,35.7,31.7,19.3,88.1,55.9
8,13:24:46.913,16,24.2,38.6,35.7,31.7,19.3,88.1,55.9
9,13:24:46.963,16,24.2,38.6,35.7,31.7,19.3,88.1,55.9
10,13:24:47.013,16,24.2,38.6,35.7,31.7,19.3,88.1,55.9
11,13:24:47.063,16,24.2,38.6,35.7,31.7,19.3,88.4,55.9
12,13:24:47.113,16,24.2,38.6,35.7,31.7,19.3,88.4,55.9
13,13:24:47.163,16,24.2,38.6,35.7,31.7,19.3,88.1,55.9
14,13:24:47.213,16,24.2,38.6,35.8,31.6,19.3,88.1,55.9
15,13:24:47.263,16,24.2,38.6,35.8,31.6,19.3,88.4,55.9
16,13:24:47.312,16,24.2,38.6,35.8,31.6,19.3,88.4,55.9
17,13:24:47.363,16,24.2,38.6,35.7,31.7,19.3,88.4,55.9
18,13:24:47.413,16,24.2,38.7,35.7,31.6,19.3,88.4,55.9
19,13:24:47.463,16,24.2,38.7,35.7,31.6,19.2,88.4,55.9
20,13:24:47.513,16,24.2,38.7,35.7,31.6,19.2,88.4,55.9
21,13:24:47.562,16,24.2,38.7,35.7,31.6,19.2,88.4,55.9
22,13:24:47.613,16,24.2,38.7,35.7,31.7,19.2,88.4,55.9
23,13:24:47.663,16,24.2,38.7,35.8,31.6,19.2,88.4,55.9
24,13:24:47.712,16,24.2,38.7,35.8,31.6,19.2,88.4,55.9
25,13:24:47.763,16,24.2,38.7,35.9,31.6,19.2,88.4,55.9
26,13:24:47.813,16,24.2,38.6,35.9,31.6,19.2,88.4,55.9
27,13:24:47.862,16,24.2,38.6,35.9,31.6,19.2,88.4,55.9
28,13:24:47.913,16,24.2,38.6,35.9,31.6,19.2,88.4,55.9
29,13:24:47.963,16,24.2,38.7,35.9,31.6,19.2,88.4,55.9
30,13:24:48.013,16,24.2,38.6,35.9,31.6,19.2,88.4,56.2
31,13:24:48.063,16,24.2,38.7,36.0,31.6,19.2,88.4,55.9
32,13:24:48.113,16,24.2,38.6,36.0,31.6,19.2,88.7,55.9
33,13:24:48.162,16,24.2,38.6,36.0,31.7,19.2,88.7,55.9
34,13:24:48.213,16,24.2,38.7,36.0,31.7,19.2,88.7,55.9
35,13:24:48.263,16,24.2,38.7,36.0,31.6,19.2,88.7,55.9
36,13:24:48.313,16,24.2,38.6,36.0,31.6,19.1,88.7,55.9
37,13:24:48.363,16,24.2,38.6,36.0,31.6,19.2,88.7,55.9
38,13:24:48.413,16,24.2,38.6,36.0,31.7,19.2,88.7,55.9
39,13:24:48.463,16,24.2,38.7,36.0,31.7,19.2,88.7,55.9
40,13:24:48.513,16,24.2,38.7,36.0,31.6,19.1,88.7,55.9
41,13:24:48.563,17,24.2,38.6,36.0,31.6,19.1,88.7,55.9
42,13:24:48.613,16,24.2,38.6,36.0,31.6,19.2,88.7,56.2
43,13:24:48.663,16,24.2,38.6,36.0,31.6,19.2,88.7,55.9
44,13:24:48.713,16,24.2,38.6,36.1,31.6,19.3,88.7,55.9
45,13:24:48.763,17,24.2,38.6,36.1,31.6,19.3,88.7,55.9
46,13:24:48.813,17,24.2,38.6,36.1,31.6,19.3,89.0,55.9
47,13:24:48.863,17,24.2,38.6,36.1,31.6,19.3,88.7,55.9
48,13:24:48.913,17,24.2,38.6,36.1,31.6,19.3,88.7,55.9
49,13:24:48.962,17,24.2,38.6,36.1,31.6,19.3,89.0,55.9
50,13:24:49.013,17,24.2,38.6,36.0,31.7,19.3,88.7,55.9
51,13:24:49.063,17,24.2,38.6,36.0,31.6,19.3,89.0,55.9
52,13:24:49.113,17,24.2,38.6,36.0,31.7,19.3,88.7,55.9
53,13:24:49.163,17,24.2,38.6,36.0,31.6,19.3,89.0,55.9
54,13:24:49.213,17,24.2,38.7,36.0,31.6,19.4,89.0,56.2
55,13:24:49.263,17,24.2,38.7,36.2,31.6,19.3,89.0,55.9
56,13:24:49.313,17,24.2,38.7,36.2,31.6,19.3,89.0,55.9
57,13:24:49.363,17,24.2,38.7,36.2,31.6,19.3,89.0,55.9
58,13:24:49.413,17,24.2,38.7,36.2,31.6,19.3,89.0,55.9
59,13:24:49.463,17,24.2,38.8,36.2,31.6,19.3,89.0,55.9
60,13:24:49.512,17,24.2,38.7,36.2,31.6,19.3,89.0,56.2
61,13:24:49.563,17,24.2,38.7,36.2,31.6,19.3,89.0,55.9
62,13:24:49.613,17,24.2,38.7,36.3,31.6,19.4,89.0,55.9
63,13:24:49.663,17,24.2,38.7,36.3,31.5,19.4,89.0,56.2
64,13:24:49.713,17,24.2,38.7,36.2,31.5,19.4,89.0,56.2
65,13:24:49.763,17,24.2,38.7,36.3,31.5,19.4,89.0,56.2
66,13:24:49.813,17,24.2,38.8,36.3,31.5,19.4,89.0,56.2
67,13:24:49.863,17,24.2,38.8,36.4,31.5,19.4,89.0,56.2
68,13:24:49.913,17,24.2,38.8,36.5,31.5,19.3,89.0,56.2
69,13:24:49.962,17,24.2,38.8,36.5,31.5,19.3,89.0,56.2
70,13:24:50.013,17,24.2,38.8,36.5,31.5,19.3,89.0,55.9
71,13:24:50.063,17,24.2,38.8,36.5,31.5,19.3,89.0,56.2
72,13:24:50.113,17,24.2,38.8,36.5,31.5,19.3,89.0,56.2
73,13:24:50.162,17,24.2,38.9,36.5,31.5,19.3,89.0,56.2
74,13:24:50.213,17,24.2,38.9,36.5,31.5,19.3,89.0,56.2
75,13:24:50.263,17,24.2,38.9,36.5,31.5,19.3,89.0,55.9
76,13:24:50.313,17,24.2,38.8,36.5,31.5,19.3,89.0,56.2
77,13:24:50.363,17,24.2,38.9,36.5,31.5,19.3,89.0,55.9
78,13:24:50.412,17,24.2,38.9,36.5,31.5,19.3,89.0,56.2
79,13:24:50.463,17,24.2,38.8,36.5,31.5,19.3,89.0,56.2
80,13:24:50.513,17,24.2,38.8,36.5,31.5,19.4,89.0,56.2
81,13:24:50.563,17,24.2,38.8,36.5,31.4,19.4,89.0,56.2
82,13:24:50.613,17,24.2,38.8,36.5,31.4,19.4,89.0,56.2
83,13:24:50.663,17,24.2,38.8,36.5,31.5,19.4,89.0,55.9
84,13:24:50.713,17,24.2,38.8,36.6,31.5,19.4,89.0,55.9
85,13:24:50.763,17,24.2,38.9,36.6,31.4,19.4,89.0,56.2
86,13:24:50.813,17,24.2,38.9,36.7,31.4,19.4,89.0,56.2
87,13:24:50.863,17,24.2,38.9,36.7,31.4,19.4,89.0,56.2
88,13:24:50.913,17,24.2,38.9,36.7,31.4,19.4,89.0,56.2
89,13:24:50.963,17,24.2,38.9,36.7,31.5,19.4,89.0,56.2
90,13:24:51.013,17,24.2,38.9,36.7,31.5,19.4,89.0,56.2
91,13:24:51.063,17,24.2,38.9,36.7,31.4,19.4,89.0,56.2
92,13:24:51.113,17,24.2,39.0,36.8,31.4,19.4,89.0,55.9
93,13:24:51.163,17,24.2,38.9,36.7,31.5,19.4,89.0,55.9
94,13:24:51.213,17,24.2,38.9,36.7,31.4,19.4,89.0,55.9
95,13:24:51.263,17,24.2,38.9,36.7,31.5,19.4,89.3,56.2
96,13:24:51.313,17,24.2,38.9,36.7,31.5,19.4,89.0,56.2
97,13:24:51.363,17,24.2,38.9,36.7,31.4,19.4,89.0,56.2
98,13:24:51.413,17,24.2,38.9,36.8,31.4,19.4,89.3,56.2
99,13:24:51.462,17,24.2,38.9,36.8,31.4,19.4,89.0,56.2
100,13:24:51.513,17,24.2,38.9,36.8,31.4,19.4,89.0,56.2
101,13:24:51.563,17,24.2,38.9,36.9,31.5,19.4,89.0,56.2
102,13:24:51.613,17,24.2,38.9,36.9,31.5,19.4,89.3,56.2
103,13:24:51.663,17,24.2,39.0,36.9,31.4,19.4,89.3,56.2
104,13:24:51.713,17,24.2,39.0,36.9,31.4,19.4,89.0,56.2
105,13:24:51.763,17,24.2,39.0,36.9,31.4,19.3,89.3,56.2
106,13:24:51.813,17,24.2,39.0,36.9,31.5,19.3,89.3,56.2
107,13:24:51.863,17,24.2,39.0,36.9,31.5,19.3,89.0,56.2
108,13:24:51.912,17,24.2,39.0,36.9,31.5,19.3,89.0,56.2
109,13:24:51.963,17,24.2,39.0,36.9,31.5,19.3,89.3,56.2
110,13:24:52.013,17,24.2,38.9,37.0,31.5,19.3,89.3,56.2
111,13:24:52.063,17,24.2,38.9,37.0,31.5,19.3,89.3,56.2
112,13:24:52.113,17,24.2,39.0,37.0,31.5,19.3,89.3,56.2
113,13:24:52.162,17,24.2,39.0,37.0,31.5,19.3,89.3,56.2
114,13:24:52.213,17,24.2,39.0,37.0,31.5,19.3,89.3,56.2
115,13:24:52.262,17,24.2,39.0,37.0,31.5,19.3,89.3,56.2
116,13:24:52.313,17,24.2,39.0,37.0,31.5,19.3,89.3,55.9
117,13:24:52.363,17,24.2,39.0,37.0,31.5,19.3,89.3,56.2
118,13:24:52.412,17,24.2,39.0,37.0,31.5,19.3,89.3,56.2
119,13:24:52.463,17,24.2,39.0,37.0,31.5,19.3,89.3,56.2
120,13:24:52.512,17,24.2,39.0,37.0,31.5,19.3,89.3,56.2
121,13:24:52.563,17,24.2,39.0,37.0,31.5,19.3,89.3,56.2
122,13:24:52.612,17,24.2,39.1,37.0,31.5,19.3,89.3,56.2
123,13:24:52.663,17,24.2,39.1,37.0,31.5,19.2,89.3,56.2
124,13:24:52.713,17,24.2,39.0,37.0,31.5,19.2,89.3,56.2
125,13:24:52.762,17,24.2,39.0,37.0,31.5,19.2,89.3,56.2
126,13:24:52.813,17,24.2,39.0,37.1,31.5,19.2,89.3,56.2
127,13:24:52.863,17,24.2,39.1,37.1,31.5,19.2,89.3,55.9
128,13:24:52.913,17,24.2,39.1,37.1,31.5,19.2,89.3,56.2
129,13:24:52.963,17,24.2,39.0,37.1,31.5,19.2,89.6,56.2
130,13:24:53.013,17,24.2,39.0,37.1,31.6,19.2,89.6,56.2
131,13:24:53.062,17,24.2,39.0,37.1,31.6,19.2,89.3,55.9
132,13:24:53.113,17,24.2,39.1,37.1,31.6,19.2,89.6,56.2
133,13:24:53.163,17,24.2,39.0,37.1,31.6,19.2,89.3,56.2
134,13:24:53.212,17,24.2,39.0,37.2,31.6,19.2,89.3,56.2
135,13:24:53.263,17,24.2,39.0,37.3,31.6,19.2,89.6,55.9
136,13:24:53.313,17,24.2,39.0,37.2,31.6,19.1,89.6,56.2
137,13:24:53.363,17,24.2,39.1,37.2,31.6,19.2,89.6,55.9
138,13:24:53.413,17,24.2,39.1,37.2,31.6,19.2,89.6,56.2
139,13:24:53.463,17,24.2,39.0,37.2,31.6,19.2,89.6,55.9
140,13:24:53.513,17,24.2,39.0,37.3,31.7,19.2,89.6,56.2
141,13:24:53.563,17,24.2,39.0,37.3,31.7,19.1,89.6,56.2
142,13:24:53.613,17,24.2,39.1,37.4,31.6,19.2,89.6,56.2
143,13:24:53.663,17,24.2,39.0,37.4,31.6,19.2,89.6,56.2
144,13:24:53.713,17,24.2,39.0,37.4,31.6,19.2,89.6,56.2
145,13:24:53.763,17,24.2,39.0,37.4,31.6,19.1,89.6,55.9
146,13:24:53.814,17,24.2,39.2,37.3,31.7,19.2,89.6,55.9
147,13:24:53.863,17,24.2,39.2,37.3,31.6,19.2,89.6,56.2
148,13:24:53.913,17,24.2,39.1,37.3,31.6,19.2,89.6,55.9
